column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_health-outcomes_sub_a_sub_f|9,0,1,Health - Outcomes,k_health-outcomes_sub_a_sub_f,9,https://vocab.destiny-evidence.org/health-outcomes/DSNY000363,Z_Other unspecified infectious diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000353,3,0,True
k_health-outcomes_sub_b|0,0,3,Health - Outcomes,k_health-outcomes_sub_b,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000384,Cardiovascular diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000377,2,12,False
k_health-outcomes_sub_b|2,0,3,Health - Outcomes,k_health-outcomes_sub_b,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000438,Diabetes and kidney diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000377,2,3,False
k_health-outcomes_sub_b_sub_b_sub|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_b_sub,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000442,Acute kidney injury,https://vocab.destiny-evidence.org/health-outcomes/DSNY000440,4,0,True
k_health-outcomes_sub_b_sub_b_sub|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_b_sub,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000441,Chronic kidney disease,https://vocab.destiny-evidence.org/health-outcomes/DSNY000440,4,0,True
k_health-outcomes_sub_b_sub_c|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000407,Appendicitis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000405,Cirrhosis and other chronic liver diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000412,Gallbladder and biliary diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|3,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000410,Inflammatory bowel disease,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|4,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000409,"Inguinal, femoral, and abdominal hernia",https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
