item_id,title,doi,wos_id,scopus_id,openalex_id,s2_id,pubmed_id,publication_year,source,coder,k_population-age|0,k_population-age|1,k_population-age|2,k_population-age|3,k_population-age|4,dsny000255_sub|0,dsny000255_sub|1,dsny000255_sub|2,dsny000258_sub|0,dsny000258_sub|1,dsny000251_sub|0,dsny000251_sub|1,dsny000249_sub|0,k_population-gender-sex|0,k_population-gender-sex|1,k_population-gender-sex|2,k_population-gender-sex|3,k_population-vulnerability|0,k_population-vulnerability|1,k_population-vulnerability|2,k_population-vulnerability|3,k_population-vulnerability|4,k_population-vulnerability|5,k_population-vulnerability|6,k_population-vulnerability|7,k_population-vulnerability|8,k_population-vulnerability|9,k_population-vulnerability|10,k_reference-type|0,k_reference-type|1,k_reference-type|2,k_reference-type|3,k_reference-type|4,k_methods|0,k_methods|1,dsny000167_sub|0,dsny000167_sub|1,dsny000167_sub|2,dsny000167_sub|3,dsny000167_sub|4,dsny000167_sub|5,dsny000167_sub|6,dsny000167_sub|7,dsny000515_sub|0,dsny000515_sub|1,dsny000515_sub|2,dsny000529_sub|0,dsny000529_sub|1,dsny000529_sub|2,dsny000529_sub|3,dsny000532_sub|0,dsny000532_sub|1,dsny000532_sub|2,dsny000532_sub|3,dsny000532_sub|4,dsny000532_sub|5,dsny000532_sub|6,dsny000527_sub|0,dsny000545_sub|0,dsny000545_sub|1,dsny000545_sub|2,dsny000545_sub|3,dsny000545_sub|4,dsny000522_sub|0,dsny000522_sub|1,dsny000522_sub|2,dsny000522_sub|3,dsny000519_sub|0,dsny000519_sub|1,dsny000541_sub|0,dsny000541_sub|1,dsny000541_sub|2,dsny000198_sub|0,dsny000198_sub|1,dsny000198_sub|2,dsny000198_sub|3,dsny000198_sub|4,dsny000198_sub|5,dsny000201_sub|0,dsny000201_sub|1,dsny000201_sub|2,dsny000201_sub|3,dsny000201_sub|4,dsny000201_sub|5,dsny000201_sub|6,k_topic|0,k_topic|1,k_topic|2,dsny000052_sub|0,dsny000053_sub|0,dsny000053_sub|1,dsny000053_sub|2,dsny000051_sub|0,k_climate-drivers-variability|0,k_climate-drivers-variability|1,k_climate-drivers-variability|2,k_climate-drivers-variability|3,k_climate-drivers-variability|4,k_climate-drivers-variability|5,k_climate-drivers-variability|6,k_climate-drivers-variability|7,k_climate-drivers-variability|8,k_climate-drivers-variability|9,k_extreme-weather-events|0,k_extreme-weather-events|1,k_extreme-weather-events|2,k_extreme-weather-events|3,k_extreme-weather-events|4,k_extreme-weather-events|5,k_extreme-weather-events|6,k_climate-forcing-agents|0,k_climate-forcing-agents|1,k_climate-forcing-agents|2,k_climate-forcing-agents|3,k_climate-forcing-agents|4,k_climate-forcing-agents|5,k_climate-forcing-agents|6,k_climate-forcing-agents|7,k_fossil-fuels|0,k_fossil-fuels|1,k_fossil-fuels|2,k_fossil-fuels|3,k_interventions-measures-responses|0,k_interventions-measures-responses|1,k_interventions-measures-responses|2,k_interventions-measures-responses|3,k_interventions-measures-responses|4,k_interventions-measures-responses|5,dsny000097_sub|0,dsny000097_sub|1,dsny000098_sub|0,dsny000098_sub|1,dsny000098_sub|2,dsny000098_sub|3,dsny000098_sub|4,dsny000098_sub|5,dsny000098_sub|6,dsny000098_sub|7,dsny000107_sub|0,dsny000107_sub|1,dsny000107_sub|2,dsny000107_sub|3,dsny000107_sub|4,dsny000588_sub|0,dsny000588_sub|1,dsny000588_sub|2,dsny000588_sub|3,dsny000588_sub|4,dsny000588_sub|5,dsny000113_sub|0,dsny000113_sub|1,dsny000113_sub|2,dsny000113_sub|3,dsny000114_sub|0,dsny000114_sub|1,dsny000114_sub|2,dsny000114_sub|3,dsny000114_sub|4,dsny000087_sub|0,dsny000087_sub|1,dsny000087_sub|2,dsny000087_sub|3,dsny000087_sub|4,dsny000093_sub|0,dsny000093_sub|1,dsny000093_sub|2,dsny000095_sub|0,dsny000095_sub|1,dsny000095_sub|2,dsny000095_sub|3,dsny000095_sub|4,dsny000095_sub|5,dsny000096_sub|0,dsny000096_sub|1,dsny000096_sub|2,dsny000096_sub|3,dsny000096_sub|4,dsny000096_sub|5,dsny000096_sub|6,dsny000094_sub|0,dsny000094_sub|1,dsny000094_sub|2,dsny000094_sub|3,dsny000094_sub|4,dsny000094_sub|5,dsny000094_sub|6,k_sectors|0,k_sectors|1,k_sectors|2,k_sectors|3,k_sectors|4,k_sectors|5,k_sectors|6,k_sectors|7,k_sectors|8,k_sectors|9,k_sectors|10,k_sectors|11,k_sectors|12,k_actors|0,k_actors|1,k_actors|2,k_actors|3,k_actors|4,k_governance-scale|0,k_governance-scale|1,k_governance-scale|2,k_governance-scale|3,k_governance-scale|4,k_governance-scale|5,k_governance-scale|6,k_human-settlements|0,k_human-settlements|1,k_human-settlements|2,dsny000505_sub|0,dsny000505_sub|1,dsny000505_sub|2,dsny000505_sub|3,dsny000511_sub|0,dsny000511_sub|1,dsny000511_sub|2,k_geographic-location|0,k_country-income|0,k_country-income|1,k_country-income|2,k_country-income|3,k_geographic-feature|0,k_geographic-feature|1,k_geographic-feature|2,k_geographic-feature|3,k_geographic-feature|4,k_geographic-feature|5,k_geographic-feature|6,k_geographic-feature|7,k_geographic-feature|8,k_geographic-feature|9,k_geographic-feature|10,k_geographic-feature|11,k_geographic-feature|12,k_geographic-feature|13,k_geographic-feature|14,k_geographic-feature|15,k_geographic-feature|16,k_geographic-feature|17,k_geographic-feature|18,k_geographic-feature|19,k_geographic-feature|20,k_geographic-feature|21,k_geographic-feature|22,k_geographic-feature|23,k_geographic-feature|24,k_geographic-feature|25,k_health-exposure|0,k_health-exposure|1,k_health-exposure|2,k_health-exposure|3,k_health-exposure|4,k_health-exposure|5,k_health-exposure|6,k_health-exposure|7,dsny000267_sub|0,dsny000267_sub|1,dsny000267_sub|2,dsny000267_sub|3,dsny000267_sub|4,k_health-metrics|0,k_health-metrics|1,k_health-metrics|2,k_health-metrics|3,dsny000274_sub|0,dsny000274_sub|1,dsny000274_sub|2,dsny000274_sub|3,dsny000274_sub|4,dsny000274_sub|5,dsny000281_sub|0,dsny000281_sub|1,dsny000281_sub|2,dsny000281_sub|3,dsny000281_sub|4,dsny000293_sub|0,dsny000293_sub|1,dsny000287_sub|0,dsny000287_sub|1,dsny000287_sub|2,dsny000287_sub|3,dsny000287_sub|4,k_health-outcomes|0,k_health-outcomes|1,k_health-outcomes|2,k_health-outcomes|3,dsny000296_sub|0,dsny000296_sub|1,dsny000296_sub|2,dsny000305_sub|0,dsny000305_sub|1,dsny000305_sub|2,dsny000305_sub|3,dsny000306_sub|0,dsny000306_sub|1,dsny000306_sub|2,dsny000306_sub|3,dsny000298_sub|0,dsny000298_sub|1,dsny000298_sub|2,dsny000298_sub|3,dsny000298_sub|4,dsny000298_sub|5,dsny000314_sub|0,dsny000314_sub|1,dsny000314_sub|2,dsny000314_sub|3,dsny000314_sub|4,dsny000314_sub|5,dsny000314_sub|6,dsny000324_sub|0,dsny000324_sub|1,dsny000324_sub|2,dsny000324_sub|3,dsny000325_sub|0,dsny000315_sub|0,dsny000315_sub|1,dsny000364_sub|0,dsny000364_sub|1,dsny000365_sub|0,dsny000367_sub|0,dsny000367_sub|1,dsny000330_sub|0,dsny000330_sub|1,dsny000330_sub|2,dsny000330_sub|3,dsny000330_sub|4,dsny000330_sub|5,dsny000330_sub|6,dsny000330_sub|7,dsny000330_sub|8,dsny000330_sub|9,dsny000330_sub|10,dsny000330_sub|11,dsny000330_sub|12,dsny000330_sub|13,dsny000330_sub|14,dsny000330_sub|15,dsny000330_sub|16,dsny000330_sub|17,dsny000330_sub|18,dsny000330_sub|19,dsny000330_sub|20,dsny000330_sub|21,dsny000370_sub|0,dsny000370_sub|1,dsny000370_sub|2,dsny000370_sub|3,dsny000370_sub|4,dsny000370_sub|5,dsny000318_sub|0,dsny000318_sub|1,dsny000318_sub|2,dsny000318_sub|3,dsny000318_sub|4,dsny000353_sub|0,dsny000353_sub|1,dsny000353_sub|2,dsny000353_sub|3,dsny000353_sub|4,dsny000353_sub|5,dsny000353_sub|6,dsny000353_sub|7,dsny000353_sub|8,dsny000353_sub|9,dsny000377_sub|0,dsny000377_sub|1,dsny000377_sub|2,dsny000377_sub|3,dsny000377_sub|4,dsny000377_sub|5,dsny000377_sub|6,dsny000377_sub|7,dsny000377_sub|8,dsny000377_sub|9,dsny000377_sub|10,dsny000377_sub|11,dsny000384_sub|0,dsny000384_sub|1,dsny000384_sub|2,dsny000384_sub|3,dsny000384_sub|4,dsny000384_sub|5,dsny000384_sub|6,dsny000384_sub|7,dsny000384_sub|8,dsny000384_sub|9,dsny000384_sub|10,dsny000384_sub|11,dsny000397_sub|0,dsny000397_sub|1,dsny000397_sub|2,dsny000397_sub|3,dsny000397_sub|4,dsny000397_sub|5,dsny000438_sub|0,dsny000438_sub|1,dsny000438_sub|2,dsny000440_sub|0,dsny000440_sub|1,dsny000404_sub|0,dsny000404_sub|1,dsny000404_sub|2,dsny000404_sub|3,dsny000404_sub|4,dsny000404_sub|5,dsny000404_sub|6,dsny000404_sub|7,dsny000404_sub|8,dsny000404_sub|9,dsny000423_sub|0,dsny000423_sub|1,dsny000423_sub|2,dsny000423_sub|3,dsny000423_sub|4,dsny000423_sub|5,dsny000423_sub|6,dsny000423_sub|7,dsny000423_sub|8,dsny000423_sub|9,dsny000423_sub|10,dsny000378_sub|0,dsny000378_sub|1,dsny000378_sub|2,dsny000378_sub|3,dsny000378_sub|4,dsny000415_sub|0,dsny000415_sub|1,dsny000415_sub|2,dsny000415_sub|3,dsny000415_sub|4,dsny000415_sub|5,dsny000415_sub|6,dsny000457_sub|0,dsny000457_sub|1,dsny000457_sub|2,dsny000444_sub|0,dsny000444_sub|1,dsny000444_sub|2,dsny000444_sub|3,dsny000444_sub|4,dsny000444_sub|5,dsny000444_sub|6,dsny000444_sub|7,dsny000444_sub|8,dsny000444_sub|9,dsny000444_sub|10,dsny000444_sub|11,dsny000435_sub|0,dsny000435_sub|1,dsny000435_sub|2,dsny000462_sub|0,dsny000462_sub|1,dsny000462_sub|2,dsny000462_sub|3,dsny000462_sub|4,dsny000462_sub|5,dsny000462_sub|6,dsny000470_sub|0,dsny000470_sub|1,dsny000470_sub|2,dsny000485_sub|0,dsny000485_sub|1,dsny000485_sub|2,dsny000485_sub|3,dsny000472_sub|0,dsny000472_sub|1,dsny000472_sub|2,dsny000472_sub|3,dsny000472_sub|4,dsny000472_sub|5,dsny000472_sub|6,dsny000472_sub|7,dsny000472_sub|8,dsny000472_sub|9,dsny000472_sub|10,dsny000472_sub|11
367fedea-1424-485b-9505-614c7104808d,"Quantifying respirable crystalline silica in the ambient air of the Hunter Valley, NSW - sorting the silica from the silicon",,,,W2899102739,,,2011,The Australian Nuclear Science and Technology Organisation Institutional Repository (The Australian Nuclear Science and Technology Organisation),RESOLVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a09c3ba3-a603-4401-9f21-e7a2b89e7f82,New Building Damage Assessment Method Based on Numerical Tsunami Simulation and Analytical Force Estimation: Case study of the 2011 Tohoku tsunami,10.2208/kaigan.74.i_451,,,W2899622645,,,2018,Journal of Japan Society of Civil Engineers Ser B2 (Coastal Engineering),coder_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5975457-490d-4377-9d27-9b4ed0f07a7f,THE ANALYSIS OF THE SICKNESS RATE AMONG THE CHILDREN AND ADOLESCENTS OF THE IRKUTSK REGION (BY EXAMPLE OF THE TAISHET DISTRICT),,,,W4404878417,,,2013,SHILAP Revista de lepidopterología,RESOLVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e552ec70-912b-48c0-a59f-0f34e05b3463,INTERPRETATION OF ASSESSMENT RESULTS OF TEACHER'S ACTIVITY QUALITY OBTAINED THROUGH INFORMATION SERVICE KSUFEEDBACK FUNCTIONING,10.14308/ite000546,,,W2560236027,,,2015,Information Technologies in Education,RESOLVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa7110d2-64e8-46f7-87d0-f6cbefe424a9,Borehole hydraulic coal mining system analysis,,,,W980606389,,,1977,NASA STI Repository (National Aeronautics and Space Administration),RESOLVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
