prompt,output_data_type,attribute_id,attribute_label,concept_id
Energy sector; Extractive industries; Mining; Power and resource extraction; Power generation,bool,477,Energy and extractives (Sector),DSNY000118
Commerce; Industry; Manufacturing; Trade,bool,480,"Industry, trade, and services (Sector)",DSNY000122
Safety nets; Social security; Social services; Social welfare; Welfare; Welfare systems,bool,484,Social protection (Sector),DSNY000121
Sanitation; WASH sector; Waste management; Water sector,bool,486,"Water, sanitation, and waste management (Sector)",DSNY000126
Armed forces; Army; Defense industry; Defense infrastructure; Defense sector; Security sector,bool,482,Military (Sector),DSNY000224
Built environment; Construction; Housing; Residential sector,bool,475,Buildings / housing (Sector),DSNY000116
Other design; Other primary study design; Unclassified study design,bool,397,Z_Other study design,DSNY000551
Research synthesis; Review; Secondary research,bool,388,2. Evidence synthesis,DSNY000198
Meta-analysis without systematic review,bool,428,Meta-analysis (unsystematic),DSNY000637
Descriptive designs; Descriptive study design; Single-group study,bool,391,Descriptive / single-group designs,DSNY000515
Comparative experimental design; Controlled experimental design; Group comparison experiment,bool,389,(Quasi-)Experimental / group comparison designs,DSNY000529
SR; Systematic literature review,bool,430,Systematic reviews,DSNY000201
Mixed-methods design; Qualitative design; Qualitative research; Qualitative study,bool,396,Qualitative designs,DSNY000541
Observational single-group study; Single-group observational study; Uncontrolled observational design,bool,395,Observational / single-group designs,DSNY000519
HTA; Health technology assessment,bool,427,Health technology assessment (HTA),DSNY000208
Analytic observational design; Comparative observational design; Observational comparative study,bool,394,Observational / group comparison designs,DSNY000522
Empirical research; Original research; Primary study,bool,387,1. Primary research,DSNY000167
Single-arm experimental design; Uncontrolled experimental design,bool,390,(Quasi-)Experimental / single-group designs,DSNY000527
Other review type; Other synthesis type; Unclassified evidence synthesis,bool,431,Z_Other evidence synthesis type,DSNY000555
Clinical guideline; Clinical practice guideline (CPG); Evidence-based guideline; Health guideline; Public health guideline,bool,426,Guideline (clinical or public health),DSNY000207
Literature review; Non-systematic review; Review; Traditional review,bool,429,Narrative review,DSNY000206
Computational modelling; Mathematical modelling; Modelling study; Simulation study,bool,393,Modelling / simulation,DSNY000545
Mixed-methods study; Multi-method study; Quantitative and qualitative combined,bool,392,Mixed-methods,DSNY000544
CMNN diseases; Communicable diseases; Infectious and nutritional diseases,bool,113,"2. Communicable, maternal, neonatal, and nutritional diseases",DSNY000314
Airway infections; Lung infections; Respiratory infections; Tuberculosis,bool,138,Respiratory infections and tuberculosis,DSNY000318
Cutaneous disease; Dermatological conditions; Skin conditions; Skin diseases,bool,204,Skin and subcutaneous diseases,DSNY000444
Mental health conditions; Psychiatric conditions; Psychiatric disorders; Psychological disorders,bool,199,Mental disorders,DSNY000423
All-cause death; Overall mortality; Total deaths,bool,116,1.1. Total / all-cause mortality (Outcome),DSNY000297
Death; Fatal outcomes; Mortality outcomes,bool,112,1. Mortality (Outcome),DSNY000296
Miscellaneous infections; Other infections; Other infectious diseases,bool,139,Z_Other infectious diseases,DSNY000353
NCD mortality; Non-communicable disease deaths,bool,118,1.3. Non-communicable mortality,DSNY000298
NTDs; Neglected tropical diseases; Tropical diseases; Vector-borne diseases,bool,136,Neglected tropical diseases and malaria,DSNY000330
HIV; HIV and STIs; STDs; STIs; Sexually transmitted diseases,bool,134,HIV/AIDS and sexually transmitted infections,DSNY000315
Harm; Physical injury; Trauma; Wounds,bool,115,4. Injuries,DSNY000470
Cancer; Malignancies; Oncological conditions; Tumours,bool,201,Neoplasms,DSNY000378
Hunger; Malnutrition; Micronutrient deficiency; Undernutrition,bool,137,Nutritional deficiencies,DSNY000370
Bowel diseases; GI diseases; Gastrointestinal diseases; Gut diseases,bool,198,Digestive diseases,DSNY000404
Cardiometabolic disease; Diabetes and renal disease; Metabolic and kidney disease,bool,197,Diabetes and kidney diseases,DSNY000438
Brain diseases; Nervous system disorders; Neurodegenerative diseases,bool,202,Neurological disorders,DSNY000415
Accidental harm; Accidental injuries; Unintentional harm,bool,290,Unintentional injuries,DSNY000472
CVD; Cardiac diseases; Circulatory diseases; Heart disease; Vascular disease,bool,195,Cardiovascular diseases,DSNY000384
Maternal and neonatal conditions; Perinatal conditions; Pregnancy complications,bool,135,Maternal and neonatal disorders,DSNY000364
MVA; Motor vehicle accidents; RTI; Road traffic accidents; Road traffic injuries,bool,289,Transport injuries,DSNY000471
Addiction; Drug and alcohol disorders; Substance abuse,bool,205,Substance use disorders,DSNY000435
Foodborne infections; Gastrointestinal infections; Gut infections; Waterborne infections,bool,133,Enteric infections,DSNY000324
Chronic conditions; Chronic diseases; NCDs; Non-infectious diseases,bool,114,3. Non-communicable diseases,DSNY000377
Eye and ear diseases; Sensory diseases; Visual and hearing disorders,bool,203,Sense organ diseases,DSNY000457
Intentional injury; Interpersonal violence; Self-inflicted injury; Violence,bool,288,Self-harm and interpersonal violence,DSNY000485
Chronic lung disease; Obstructive lung disease; Respiratory disease,bool,196,Chronic respiratory diseases,DSNY000397
CMNN mortality; Communicable disease mortality; Infectious disease mortality,bool,117,"1.2. Communicable, maternal, neonatal, and nutritional mortality",DSNY000305
Arthritis; Back pain; Bone and joint disease; Osteoarthritis; Osteoporosis; Rheumatic disease,bool,200,Musculoskeletal disorders,DSNY000461
Other NCDs; Other chronic diseases; Residual NCDs,bool,206,Z_Other non-communicable diseases,DSNY000462
